"Timestamp","Which committee are you?","Gossip?"
"2023/06/22 4:37:04 pm EEST","Volunteer","hrc russia je smash"
"2023/06/22 4:37:28 pm EEST","HRC","Rusija najjači"
"2023/06/22 4:39:18 pm EEST","Volunteer","Imal ko sta zavrsit ovom kuli nije dobar"
"2023/06/22 4:40:59 pm EEST","HRC","Ložim se na volonterku Zukić"
"2023/06/22 4:46:12 pm EEST","Volunteer","Haj polako betanija"
"2023/06/22 4:53:40 pm EEST","HSC","hsc speedrunning wwiii"
"2023/06/22 4:59:19 pm EEST","HSC","nemojte ulaziti u hsc nisu zdravi"
"2023/06/22 5:00:28 pm EEST","Volunteer","istovareni"
"2023/06/22 5:01:42 pm EEST","OB","Treba kondomat postaviti u svakom komitetu"
"2023/06/22 5:02:41 pm EEST","HSC","udje samir odjednom nema un-a"
"2023/06/22 5:03:58 pm EEST","HSC","umjesto novih  radijatora uvedite kondomat"
"2023/06/22 5:06:51 pm EEST","OB","Kakve vam krize pisem sekem"
"2023/06/22 5:07:59 pm EEST","OB","Pustite meri iz ICJ-a"
"2023/06/22 5:20:28 pm EEST","ICJ","Russian advocate: ""i believe they should not have this much time to find proof""
Ukranian advocate: ""I believe you should get laid once in a while"""
"2023/06/22 5:43:09 pm EEST","HSC","usa in his villain era"
"2023/06/22 5:44:03 pm EEST","HSC","raspade se citav svijet u hscu"
"2023/06/22 5:52:03 pm EEST","HSC","Bože pomozi"
"2023/06/22 5:52:27 pm EEST","HSC","girl are you taiwan because i want to make you mine (hsc china rizz)"
"2023/06/22 6:01:29 pm EEST","HRC","Viraminira se New Zealand "
"2023/06/22 6:01:53 pm EEST","HRC","Vitaminira se New Zealand "
"2023/06/22 6:12:49 pm EEST","HSC","australia sick of all those emos"
"2023/06/22 6:19:29 pm EEST","HRC","Delegate of Slovenia has cutest smile ever"
"2023/06/22 6:21:08 pm EEST","SC","SC vs France"
"2023/06/22 6:21:32 pm EEST","SC","Viva la killing the French "
"2023/06/22 6:22:00 pm EEST","SC","One China policy is done"
"2023/06/22 6:22:55 pm EEST","SC","cheef keef and kanye with shotguns and mustangs are going to take over the entire counry of france"
